timestamps,Model Root/PumpFlow/Value
0.0,0.0
3.0021265000000312,0.0
4.823975000000246,0.0
7.186991999999918,10.0
10.21996560000025,10.0
13.288029599999845,10.0
16.35003910000023,10.0
19.406993300000067,10.0
22.469980100000157,10.0
25.534052200000133,10.0
28.5939628000001,10.0
31.660085900000013,10.0
34.72201660000019,10.0
37.7819927999999,10.0
40.84600150000006,10.0
43.910020799999984,10.0
46.96799599999986,10.0
50.03601919999983,10.0
50.80998170000021,0.0
53.85802550000017,0.0
56.926030600000104,0.0
58.21300560000009,0.0
61.29703849999987,0.0
64.35802909999984,0.0
67.42002730000013,0.0
70.48802280000018,0.0
73.54763170000024,0.0
76.61102140000003,0.0
79.67303820000006,0.0
82.73501979999992,0.0
85.80103150000014,0.0
88.86398969999982,0.0
91.92097969999986,0.0
94.98797270000023,0.0
98.05099389999987,0.0
101.10801059999994,0.0
104.17597250000017,0.0
107.23702150000008,0.0
110.29501680000021,0.0
113.36202600000024,0.0
116.4240063000002,0.0
119.48499029999994,0.0
122.55000340000015,0.0
125.18503220000002,0.0
