descriptions,General,User,Visitor
,General,DateTime,20/04/2025 17:12:51
,General,Origin,"Software revision: rl_tts1_top_hostpc_6e8x0_openloop.sdf, rl_tts1_top_hostpc_6e8x0_openloop.ppc\nVariable description: rl_tts1_top_hostpc_6e8x0_openloop.sdf\n    Platform / Device: Platform [DS1104 R&D Controller Board, assigned to 'ds1104']\nControlDesk version: 7.3"
,General,Description,
,Recording,StartCondition,None (Immediate Recording)
,Recording,StopCondition,None
,Measurement,XAxisOffset,0
,Measurement,Length,246.1210394
,Measurement,StartTimestamp,1283.709739
,Measurement,StopTimestamp,1529.830778
,MDF,Department,
,MDF,Project,
,MDF,MeasurementObject,

trace_size,2462
trace_types,5,4,4,4
trace_names,,In1,In1,In1
trace_units,,,,
devices,Platform,Platform,Platform,Platform
raster,HostService,HostService,HostService,HostService
description,,,,
displayidentifier,,,,
path,,Model Root/Height_T1\n,Model Root/TTS dSPACE RTI1104/PumpLeft,Model Root/TTS dSPACE RTI1104/ValvePos_LD
flags,,2,2,2
min,,-1.797693135e+308,-1.797693135e+308,-1.797693135e+308
max,,1.797693135e+308,1.797693135e+308,1.797693135e+308
minWeak,,-1.797693135e+308,-1.797693135e+308,-1.797693135e+308
maxWeak,,1.797693135e+308,1.797693135e+308,1.797693135e+308
trace_values,0,-23.357862887838465,0,0.2910644531249999
,0.10000855078124005,-21.46677043055724,0,0.29309895833333327
,0.20001706093739813,-23.428660850287454,0,0.2910644531249999
,0.30002564609367255,-25.218401985919268,0,0.28902994791666659
,0.40003415000001041,-22.058200184159396,0,0.2910644531249999
,0.50004273515628483,-20.301456557770607,0,0.29208170572916659
,0.60005127890622134,-21.508976222221445,0,0.2910644531249999
,0.70005978359381515,-19.573708550360703,0,0.29309895833333327
,0.80006836796860625,-23.287081900371131,0,0.29004720052083327
,0.90007687265620007,-21.129340612730282,0,0.29309895833333327
,1.0000854570312185,-19.993345155133799,0,0.29309895833333327
,1.100094001562411,-21.846839488881972,0,0.29208170572916659
,1.2001025062500048,-22.326140813512581,0,0.29208170572916659
,1.3001110960938149,-23.15971886935003,0,0.2910644531249999
,1.4001196046874611,-23.38618003528445,0.10000000000000001,0.29004720052083327
,1.5001281945312712,-9.054222370152468,0.10000000000000001,0.2941162109374999
,1.6001367437499994,-16.182501175244759,0.10000000000000001,0.2910644531249999
,1.7001452523436456,-18.262676148614677,0,0.29208170572916659
,1.8001538421874557,-28.297669490671353,0.10000000000000001,0.29208170572916659
,1.9001623515623578,-17.373356377382297,0.10000000000000001,0.29208170572916659
,2.000170940624912,-17.262378079306995,0,0.29309895833333327
,2.1001794898436401,-26.804137394140685,0.10000000000000001,0.29309895833333327
