timestamps,Model Root/Height_T1\n/In1,Model Root/TTS dSPACE RTI1104/PumpLeft/In1,Model Root/TTS dSPACE RTI1104/ValvePos_LD/In1
0.0,-10.312301476204503,0.0,0.009285481770833215
0.09999805820312524,-9.772694126573509,0.0,0.009285481770833215
0.19999611738281242,-11.189460248705778,0.0,0.009285481770833215
0.2999942015624999,-13.025365713510906,0.0,0.008268229166666585
0.39999228574218737,-14.59130024451879,0.0,0.007250976562499956
0.49999036992187484,-12.848617733136496,0.0,0.008268229166666585
0.5999884541015623,-12.37781158632816,0.0,0.008268229166666585
0.6999865382812498,-12.319014091094934,0.0,0.008268229166666585
0.7999846224609373,-12.613119883199605,0.0,0.008268229166666585
0.8999827066406247,-12.113315916595704,0.0,0.008268229166666585
0.9999807908203122,-8.652904423035428,0.0,0.012337239583333215
1.0999788749999997,-8.652904423035428,0.0,0.013354492187499956
1.199976951171875,-10.560563016600524,0.0,0.013354492187499956
1.2999750132812498,-12.671976562184936,0.0,0.012337239583333215
1.3999730753906245,-14.59130024451879,0.0,0.011319986979166585
1.4999711376953124,-12.701409345939336,0.0,0.012337239583333215
1.5999691998046872,-11.189460248705778,0.0,0.013354492187499956
1.699967262109375,-11.643691255594558,0.0,0.012337239583333215
1.7999653242187499,-11.863733925614156,0.0,0.012337239583333215
1.8999633863281247,-10.984554591772067,0.0,0.013354492187499956
1.9999614486328126,-6.973983147013698,0.0,0.018440755208333215
2.0999595107421873,-7.089462852104141,0.0,0.019458007812499956
2.199957587304687,-8.116341811534905,0.0,0.019458007812499956
2.2999556701171873,-10.531344846032313,0.0,0.018440755208333215
2.3999537529296875,-13.010632632216481,0.0,0.015388997395833215
2.4999518357421877,-11.643691255594558,0.0,0.017423502604166585
2.599949918554687,-10.633621205544902,0.0,0.017423502604166585
2.699948001171875,-11.0138180450435,0.0,0.017423502604166585
2.7999460839843744,-10.604395741706458,0.0,0.017423502604166585
2.8999441667968755,-10.268512462809007,0.0,0.017423502604166585
2.999942249609375,-6.728739521463344,0.0,0.021492513020833215
3.099940333203125,-6.152502475079761,0.0,0.022509765624999956
3.199938462695312,-7.754354544455338,0.0,0.023527018229166585
3.299936592382813,-10.969923962465105,0.0,0.020475260416666585
3.399934721875,-13.128518082717603,0.0,0.018440755208333215
3.499932851562501,-12.524857076356206,0.0,0.019458007812499956
3.599930981054688,-11.335909337036034,0.0,0.018440755208333215
3.699929110546875,-10.662849587809879,0.0,0.018440755208333215
3.799927240234376,-10.166363560871211,0.0,0.019458007812499956
3.899925369726563,-9.059605686155713,0.0,0.019458007812499956
3.99992349921875,-5.448149197263266,0.0,0.023527018229166585
4.099921640820312,-6.123720281406463,0.0,0.024544270833333215
4.199919804687499,-7.957012365638643,0.0,0.023527018229166585
4.299917968359375,-10.487523057836247,0.0,0.021492513020833215
4.399916132226562,-12.9075218519943,0.0,0.019458007812499956
4.49991429609375,-11.262675629778636,0.0,0.020475260416666585
4.599912459960938,-10.414501319268831,0.0,0.019458007812499956
4.699910623632813,-10.180954079352926,0.0,0.019458007812499956
4.799908787500001,-10.151773769442,0.0,0.019458007812499956
4.899906951367188,-9.947592985293097,0.0,0.019458007812499956
4.999905115039062,-6.526927901298705,0.0,0.022509765624999956
5.099903275390624,-6.483700595137164,0.0,0.023527018229166585
5.199901434179687,-8.188792915087497,0.0,0.022509765624999956
5.299899592773438,-10.735933315784093,0.0,0.020475260416666585
5.3998977515624995,-12.966437843730244,0.0,0.018440755208333215
5.4998959103515626,-10.838281204163362,0.102,0.020475260416666585
5.599894069140626,1.8686438101333507,0.102,0.020475260416666585
5.699892227929687,-3.003232626350586,0.102,0.019458007812499956
5.79989038671875,-7.161660748869115,0.102,0.018440755208333215
5.899888545312501,-8.769047204814774,0.102,0.018440755208333215
5.999886704101562,-5.951086318234893,0.102,0.022509765624999956
6.099884861132812,-6.109330242122906,0.102,0.022509765624999956
